grid_num,range_ratio,lower_price,upper_price,total_return,max_drawdown,trade_count,final_equity
10,1.0,38555.0,108353.0,24.390115961928057,-10.521951799612216,267,12439.011596192806
15,0.9,42044.9,104863.1,20.908884569457804,-8.231661364818926,532,12090.88845694578
15,1.0,38555.0,108353.0,20.058545135620715,-7.782314674992408,438,12005.854513562072
10,0.7,49024.7,97883.3,19.586540967378916,-8.600856622553295,396,11958.654096737891
30,0.7,49024.7,97883.3,18.0027924994346,-8.906639154102065,1104,11800.27924994346
20,1.0,38555.0,108353.0,17.95172479271385,-7.952037234954545,591,11795.172479271385
30,0.8,45534.799999999996,101373.2,17.724952344923768,-8.028331719201894,1026,11772.495234492377
25,1.0,38555.0,108353.0,17.56086961082805,-6.681068572354783,832,11756.086961082805
20,0.9,42044.9,104863.1,17.54271074912907,-8.21944775221262,723,11754.271074912907
15,0.7,49024.7,97883.3,17.047878209729298,-9.271666405959946,497,11704.78782097293
25,0.7,49024.7,97883.3,16.22642216266986,-8.51344794919529,888,11622.642216266986
20,0.7,49024.7,97883.3,15.92861192786966,-8.104547115023369,808,11592.861192786966
10,0.8,45534.799999999996,101373.2,15.654006321534508,-7.617809041622031,396,11565.40063215345
30,1.0,38555.0,108353.0,15.441750774237317,-6.974246484732134,865,11544.175077423732
20,0.8,45534.799999999996,101373.2,15.149696884654476,-7.17057461536001,672,11514.969688465448
10,0.9,42044.9,104863.1,15.060038113543925,-7.225038417291298,363,11506.003811354392
30,0.9,42044.9,104863.1,14.686840262493206,-7.089331832667152,1005,11468.68402624932
15,0.8,45534.799999999996,101373.2,14.350877794661773,-6.472848207526703,531,11435.087779466177
25,0.8,45534.799999999996,101373.2,14.096987615461511,-6.568906817748828,902,11409.698761546151
25,0.9,42044.9,104863.1,12.557111511654655,-5.753269280959924,789,11255.711151165466
